scenario,seed,success,initial_mean_helping_trait,final_mean_helping_trait,helping_trait_change,initial_helping_invasion_frequency,final_helping_invasion_frequency,helping_invasion_frequency_change,final_population,final_juvenile_count,final_adult_count,latest_juvenile_survival_rate,latest_total_care,latest_mean_care_relatedness,latest_mean_household_care_relatedness,latest_mean_outside_household_care_relatedness,latest_household_care_fraction,latest_grandmother_care_fraction,latest_grandmother_household_care_fraction,latest_mean_available_care_relatedness,latest_care_assortment_gain,latest_kin_care_fraction,latest_expected_juvenile_survival_benefit,latest_benefit_per_care_unit,latest_relatedness_weighted_survival_benefit,latest_total_helper_energy_cost,latest_expected_helper_reproduction_cost,latest_hamilton_margin_proxy,latest_fostered_birth_fraction,mean_lifetime_offspring_rare_helpers,mean_lifetime_offspring_residents,lifetime_offspring_difference_rare_minus_resident,lifetime_offspring_ratio_rare_to_resident,lifetime_offspring_rare_helper_count,lifetime_offspring_resident_count,latest_mean_mate_relatedness,latest_outside_group_mating_fraction,latest_close_kin_mate_rejections
kin_biased_rearing_grandmother_on,0,1,0.04789433937321305,0.15370950174772569,0.10581516237451263,0.0703125,0.971875,0.9015625,320,17,157,1.0,132.11427267166727,0.16781598492210503,0.16781598492210503,0.13912488517726843,1.0,0.33412151716333083,1.0,0.1539377571016702,0.013878227820434824,0.7586130633163547,7.800000000000002,0.05903979821608446,1.3657662210043848,3.963428180150019,0.0,1.3657662210043848,0.0,1.9775474956822108,5.098484848484849,-3.120937352802638,0.3878696425409388,579,132,0.0859375,0.4,330
kin_biased_rearing_grandmother_on,1,0,0.028615349416912364,nan,nan,0.03125,nan,nan,0,0,0,0.0,0.0,0.196057394110954,0.21484375,0.0,0.9125580525891677,0.9125580525891677,1.0,0.196057394110954,0.0,0.9125580525891677,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,0.0,3.5,5.457943925233645,-1.9579439252336446,0.6412671232876712,4,107,0.046875,1.0,0
kin_biased_rearing_grandmother_on,2,0,0.019112973733329215,nan,nan,0.0,nan,nan,0,0,0,0.0,0.0,0.2660025990426772,0.2660025990426772,0.0,1.0,0.48797980269025737,1.0,0.2660025990426772,0.0,1.0,0.0,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,nan,6.333333333333333,nan,nan,0,90,0.0,1.0,0
kin_biased_rearing_grandmother_on,3,1,0.060736775988528904,0.149719709211921,0.08898293322339208,0.09375,0.9749216300940439,0.8811716300940439,319,25,128,1.0,123.99635446602237,0.16952158057714387,0.16952158057714387,0.0,1.0,0.3509526739307896,1.0,0.15214421374780443,0.017377366829339436,0.7015009632252917,12.350000000000003,0.09959970237176743,2.039366139843174,3.719890633980672,0.0,2.039366139843174,0.0,2.0031796502384736,4.794520547945205,-2.7913408977067315,0.41780604133545307,629,146,0.08333333333333333,0.5,288
kin_biased_rearing_grandmother_on,4,0,0.02839130830642853,0.06494900653034207,0.03655769822391354,0.0234375,0.0196078431372549,-0.0038296568627450983,51,0,5,1.0,0.0,0.20449215619344618,0.21540975732023096,0.16876845347967404,0.7659241867657388,0.444567776388039,0.7508829091533293,0.20449215619344618,0.0,0.963932063929705,0.0,0.03380748190168846,0.0,0.0,0.0,0.0,0.0,2.5526315789473686,3.2598684210526314,-0.7072368421052628,0.7830474268415742,38,304,0.078125,0.0,1
no_relatedness_bias,0,1,0.04789433937321305,0.07867804517472281,0.030783705801509756,0.0703125,0.13125,0.060937500000000006,320,13,183,1.0,67.06263710294009,0.11016599296621839,0.11282518705320603,0.07900419166780545,0.9213744581824006,0.2677046610439331,0.938442851601256,0.10083327286128872,0.009332720104929665,0.2648894627318121,5.2,0.0775394500520175,0.6742527956288185,2.0118791130882023,0.35,0.3242527956288185,0.0,2.238372093023256,2.380359612724758,-0.14198751970150214,0.9403503912003568,172,723,0.078125,0.4,111
no_relatedness_bias,1,0,0.028615349416912364,0.028087881786896286,-0.0005274676300160777,0.03125,0.0,-0.03125,69,5,29,1.0,4.68585471456793,0.21836226423900978,0.22098658846204317,0.15937025666521978,0.9574086261466028,0.3986044085306211,0.9121157059642252,0.20265126747211673,0.015710996766893054,0.9140384479026524,2.4753029440332543,0.5282500407743641,0.5158899184301898,0.14057564143703785,0.0,0.5158899184301898,0.0,2.533333333333333,3.6553846153846155,-1.1220512820512822,0.6930415263748597,15,325,0.078125,1.0,33
no_relatedness_bias,2,0,0.019112973733329215,nan,nan,0.0,nan,nan,0,0,0,1.0,0.0,0.29914796669980864,0.34399262891641846,0.23947965782196717,0.570917736363246,0.29530078636902707,0.7191457781718896,0.29914796669980864,0.0,0.8312259260652847,0.0,0.75,0.0,0.0,0.0,0.0,0.0,3.0,5.130841121495327,-2.130841121495327,0.5846994535519126,1,107,0.046875,1.0,0
no_relatedness_bias,3,1,0.060736775988528904,0.10795758649806678,0.04722081050953787,0.09375,0.6151419558359621,0.5213919558359621,317,28,143,1.0,89.52114558146488,0.13133682681733,0.13156691915442398,0.10062534762513793,0.9925636505929845,0.3135211483366882,0.9858188133403508,0.10765813801439866,0.023678688802931336,0.3348095630221338,13.000000000000004,0.14521708715367007,1.873971236859231,2.685634367443954,0.0,1.873971236859231,0.0,1.917960088691796,2.8037974683544302,-0.8858373796626342,0.6840580000300311,451,474,0.072265625,0.625,182
no_relatedness_bias,4,1,0.02839130830642853,0.06654338581715495,0.038152077510726426,0.0234375,0.08125,0.0578125,320,26,154,1.0,55.60330830987692,0.1388190140823389,0.1389116529840197,0.126040230291573,0.9928027457497007,0.3341050326702455,0.984926617096241,0.1319554680226477,0.006863546059691195,0.5296762423972137,14.300000000000004,0.2571789419490306,1.9317772457275972,1.6680992492963211,0.35,1.5817772457275971,0.0,2.325301204819277,2.643410852713178,-0.31810964789390095,0.8796594000635976,83,645,0.078125,0.75,153
