scenario,seed,success,initial_mean_helping_trait,final_mean_helping_trait,helping_trait_change,initial_helping_invasion_frequency,final_helping_invasion_frequency,helping_invasion_frequency_change,final_population,final_juvenile_count,final_adult_count,latest_juvenile_survival_rate,latest_total_care,latest_mean_care_relatedness,latest_mean_available_care_relatedness,latest_care_assortment_gain,latest_kin_care_fraction,latest_expected_juvenile_survival_benefit,latest_benefit_per_care_unit,latest_relatedness_weighted_survival_benefit,latest_total_helper_energy_cost,latest_expected_helper_reproduction_cost,latest_hamilton_margin_proxy,latest_fostered_birth_fraction,mean_lifetime_offspring_rare_helpers,mean_lifetime_offspring_residents,lifetime_offspring_difference_rare_minus_resident,lifetime_offspring_ratio_rare_to_resident,lifetime_offspring_rare_helper_count,lifetime_offspring_resident_count,latest_mean_mate_relatedness,latest_outside_group_mating_fraction,latest_close_kin_mate_rejections
shuffled_relatedness,3,1,0.060736775988528904,0.11398087057800468,0.05324409458947578,0.09375,0.721875,0.628125,320,26,122,1.0,71.52476348658705,0.13563841180230496,0.1382402265732128,-0.0026018147709078454,0.4452430790893483,13.000000000000004,0.18175523226215073,1.8608363922091147,2.1457429045976055,0.0,1.8608363922091147,0.0,1.9872881355932204,3.165714285714286,-1.1784261501210656,0.6277534724346815,472,350,0.07291666666666667,0.5,143
shuffled_relatedness,4,0,0.02839130830642853,nan,nan,0.0234375,nan,nan,0,0,0,1.0,0.0,0.23491397355549642,0.23491397355549642,0.0,0.7036439586069569,0.0,0.12059239678824961,0.0,0.0,0.0,0.0,0.0,1.7058823529411764,5.458715596330276,-3.752833243389099,0.3125061789421651,17,109,0.0390625,0.0,0
no_rearing_dependency,0,0,0.04789433937321305,0.03305456477060024,-0.014839774602612814,0.0703125,0.00510204081632653,-0.06521045918367346,196,25,97,1.0,0.0,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,1.1481481481481481,1.8828125,-0.7346643518518519,0.6098048255724604,27,640,0.078125,0.8333333333333334,207
no_rearing_dependency,1,0,0.028615349416912364,0.02812255299869198,-0.0004927964182203856,0.03125,0.010526315789473684,-0.020723684210526318,285,31,140,0.9545454545454546,0.0,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,1.0714285714285714,1.9397435897435897,-0.8683150183150183,0.5523557737701822,14,780,0.0796875,0.6,417
no_rearing_dependency,2,0,0.019112973733329215,0.025632626061314563,0.006519652327985348,0.0,0.00625,0.00625,320,15,160,1.0,0.0,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,1.8726190476190476,-0.30119047619047623,0.8391608391608392,7,840,0.083984375,0.25,195
no_rearing_dependency,3,0,0.060736775988528904,0.1063282439687339,0.045591467980205,0.09375,0.6531365313653137,0.5593865313653137,271,32,149,1.0,0.0,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,2.0535117056856187,1.856832971800434,0.19667873388518475,1.1059216078517176,299,461,0.0849609375,0.375,363
no_rearing_dependency,4,0,0.02839130830642853,0.02683271372603681,-0.0015585945803917173,0.0234375,0.007142857142857143,-0.016294642857142858,140,7,65,0.8333333333333334,0.0,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,1.0,1.778688524590164,-0.778688524590164,0.5622119815668203,9,610,0.0859375,1.0,84
unrelated_rearing_groups,0,0,0.038545295718516004,nan,nan,0.046875,nan,nan,0,0,0,0.0,0.0,0.03125,0.03125,0.0,0.0,0.0,0.7499999999999994,0.0,0.0,0.0,0.0,1.0,4.0,4.88,-0.8799999999999999,0.819672131147541,6,125,0.0703125,1.0,0
unrelated_rearing_groups,1,0,0.04024672473326536,nan,nan,0.046875,nan,nan,0,0,0,0.0,0.0,0.021791758988751703,0.021791758988751703,0.0,0.0,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,1.0,6.333333333333333,5.646551724137931,0.6867816091954024,1.1216284987277354,3,116,0.0,1.0,0
unrelated_rearing_groups,2,0,0.018718883457497386,nan,nan,0.0,nan,nan,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499999999999999,0.0,0.0,0.0,0.0,1.0,nan,5.730769230769231,nan,nan,0,104,0.0,0.0,0
unrelated_rearing_groups,3,0,0.02067122450589681,nan,nan,0.0,nan,nan,0,0,0,0.0,0.0,0.07052640082652017,0.07052640082652017,0.0,0.26551115605278186,0.0,0.75,0.0,0.0,0.0,0.0,1.0,nan,6.319148936170213,nan,nan,0,94,0.0,0.5,0
unrelated_rearing_groups,4,0,0.02096855279247783,nan,nan,0.0078125,nan,nan,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499999999999998,0.0,0.0,0.0,0.0,1.0,nan,6.111111111111111,nan,nan,0,90,0.0,0.5,0
