mechanism,benefit_scale,cost_scale,seed,initial_mean_trait,final_mean_trait,trait_gain,final_std_trait,final_identity_count,emergence_success
group_selection,0.8,0.3,5,0.11899369572264468,0.00941173301163736,-0.10958196271100731,0.01812366286123155,7,0
group_selection,0.8,0.3,6,0.11990100497716376,0.011766049529959122,-0.10813495544720464,0.01887408059829518,4,0
group_selection,0.8,0.3,7,0.1142221685091476,0.012107786604501706,-0.10211438190464589,0.018780694379777366,4,0
group_selection,1.0,0.1,0,0.11982660185613107,0.5029775966373639,0.38315099478123277,0.09026820189076334,2,1
group_selection,1.0,0.1,1,0.11914007165541113,0.5392050945290607,0.4200650228736496,0.06741657064179589,2,1
group_selection,1.0,0.1,2,0.11797424272741182,0.4747707390355964,0.3567964963081846,0.06647698815489814,1,0
group_selection,1.0,0.1,3,0.12236215370906406,0.5782294674454259,0.45586731373636186,0.053988445060870464,1,1
group_selection,1.0,0.1,4,0.12040570537335116,0.7271985450319365,0.6067928396585853,0.04317583183700187,1,1
group_selection,1.0,0.1,5,0.11899369572264468,0.49614767657729497,0.3771539808546503,0.059741378536072566,2,0
group_selection,1.0,0.1,6,0.11990100497716376,0.5425685998187315,0.42266759484156774,0.04304946598166761,1,1
group_selection,1.0,0.1,7,0.1142221685091476,0.4694665284873958,0.3552443599782482,0.06730812562585747,1,0
group_selection,1.0,0.2,0,0.11982660185613107,0.2114702717956038,0.09164366993947272,0.09579754386611945,6,0
group_selection,1.0,0.2,1,0.11914007165541113,0.18068150607830077,0.061541434422889646,0.0640553137040382,6,0
group_selection,1.0,0.2,2,0.11797424272741182,0.1144346576379106,-0.0035395850895012237,0.07537279317703652,6,0
group_selection,1.0,0.2,3,0.12236215370906406,0.1946216988274031,0.07225954511833904,0.07698601841606344,5,0
group_selection,1.0,0.2,4,0.12040570537335116,0.22748318685208632,0.10707748147873516,0.07788049523461683,6,0
group_selection,1.0,0.2,5,0.11899369572264468,0.09531848469723955,-0.023675211025405124,0.06583315071919249,3,0
group_selection,1.0,0.2,6,0.11990100497716376,0.15731360080777868,0.03741259583061492,0.0812308343745076,5,0
group_selection,1.0,0.2,7,0.1142221685091476,0.17129584845460186,0.05707367994545426,0.06366549616774443,6,0
group_selection,1.0,0.3,0,0.11982660185613107,0.01819514396885842,-0.10163145788727265,0.031050391968937014,3,0
group_selection,1.0,0.3,1,0.11914007165541113,0.02355231701207916,-0.09558775464333197,0.028766205789204462,3,0
group_selection,1.0,0.3,2,0.11797424272741182,0.013957498121760028,-0.10401674460565179,0.024788364308392957,5,0
group_selection,1.0,0.3,3,0.12236215370906406,0.009895902077543256,-0.1124662516315208,0.01994461227204422,6,0
group_selection,1.0,0.3,4,0.12040570537335116,0.013467814158825456,-0.1069378912145257,0.020015306013050436,4,0
group_selection,1.0,0.3,5,0.11899369572264468,0.00939278790055939,-0.10960090782208529,0.02161780567909785,4,0
group_selection,1.0,0.3,6,0.11990100497716376,0.015349924018436076,-0.10455108095872769,0.027791477241276168,5,0
group_selection,1.0,0.3,7,0.1142221685091476,0.007793444585176666,-0.10642872392397093,0.013055512670645511,6,0
group_selection,1.2,0.1,0,0.11982660185613107,0.6301911462681348,0.5103645444120037,0.07147603120831916,1,1
group_selection,1.2,0.1,1,0.11914007165541113,0.5283767194382365,0.40923664778282537,0.040096396326661565,1,1
group_selection,1.2,0.1,2,0.11797424272741182,0.5889487018611532,0.4709744591337414,0.05718563524860666,1,1
group_selection,1.2,0.1,3,0.12236215370906406,0.6149513853585256,0.4925892316494615,0.039433373260140195,1,1
group_selection,1.2,0.1,4,0.12040570537335116,0.6651272230961065,0.5447215177227553,0.05183378462382589,1,1
group_selection,1.2,0.1,5,0.11899369572264468,0.5583860245736189,0.4393923288509742,0.05992736091662791,2,1
group_selection,1.2,0.1,6,0.11990100497716376,0.6772454589596602,0.5573444539824964,0.04383222328409557,1,1
group_selection,1.2,0.1,7,0.1142221685091476,0.865254065303164,0.7510318967940164,0.06056670704902287,1,1
group_selection,1.2,0.2,0,0.11982660185613107,0.38438230923130096,0.26455570737516987,0.07114359119555672,2,0
group_selection,1.2,0.2,1,0.11914007165541113,0.35027359457819557,0.23113352292278444,0.06599512585709122,4,0
group_selection,1.2,0.2,2,0.11797424272741182,0.28815917516384004,0.17018493243642824,0.07391333592302712,3,0
group_selection,1.2,0.2,3,0.12236215370906406,0.42507482484985876,0.3027126711407947,0.07417648694720165,2,0
group_selection,1.2,0.2,4,0.12040570537335116,0.374699422958119,0.2542937175847678,0.06363953175913009,3,0
group_selection,1.2,0.2,5,0.11899369572264468,0.405834529302722,0.28684083358007734,0.09816918163697315,1,0
group_selection,1.2,0.2,6,0.11990100497716376,0.31319797046184117,0.1932969654846774,0.06696721090648128,4,0
group_selection,1.2,0.2,7,0.1142221685091476,0.29586240971904587,0.18164024120989827,0.05863036465672106,3,0
group_selection,1.2,0.3,0,0.11982660185613107,0.053324383851572454,-0.06650221800455862,0.04229443989332983,5,0
group_selection,1.2,0.3,1,0.11914007165541113,0.02529062727093975,-0.09384944438447138,0.03527152113429583,7,0
group_selection,1.2,0.3,2,0.11797424272741182,0.025718833168446077,-0.09225540955896575,0.03791323541888559,6,0
group_selection,1.2,0.3,3,0.12236215370906406,0.07215134815133482,-0.050210805557729235,0.0999072930018672,6,0
group_selection,1.2,0.3,4,0.12040570537335116,0.05023124349683189,-0.07017446187651927,0.040292790205465785,5,0
group_selection,1.2,0.3,5,0.11899369572264468,0.02452241069114397,-0.0944712850315007,0.03326458869517849,4,0
group_selection,1.2,0.3,6,0.11990100497716376,0.02418375307847475,-0.09571725189868902,0.030371635250181366,4,0
group_selection,1.2,0.3,7,0.1142221685091476,0.03905149132381845,-0.07517067718532915,0.03910776172946105,4,0
kin_selection,0.8,0.1,0,0.11982660185613107,0.49211990676929734,0.37229330491316626,0.0426770098268568,2,0
kin_selection,0.8,0.1,1,0.11914007165541113,0.4936519600552037,0.37451188839979255,0.05257821564114798,1,0
kin_selection,0.8,0.1,2,0.11797424272741182,0.6677682710187892,0.5497940282913774,0.1033369416165818,1,1
kin_selection,0.8,0.1,3,0.12236215370906406,0.543409985973542,0.4210478322644779,0.051377771751790445,1,1
kin_selection,0.8,0.1,4,0.12040570537335116,0.6471127420175308,0.5267070366441796,0.04738662757532027,2,1
kin_selection,0.8,0.1,5,0.11899369572264468,0.42824036659173853,0.30924667086909385,0.07418411068474624,1,0
kin_selection,0.8,0.1,6,0.11990100497716376,0.48956180835464913,0.36966080337748536,0.0483568016078704,1,0
kin_selection,0.8,0.1,7,0.1142221685091476,0.524707746015352,0.4104855775062044,0.06863707972629719,1,1
kin_selection,0.8,0.2,0,0.11982660185613107,0.30508391407416546,0.18525731221803438,0.07325407780582265,1,0
kin_selection,0.8,0.2,1,0.11914007165541113,0.468457663880351,0.34931759222493985,0.06395275111224316,2,0
kin_selection,0.8,0.2,2,0.11797424272741182,0.2604398013305682,0.1424655586031564,0.09110101295691178,1,0
kin_selection,0.8,0.2,3,0.12236215370906406,0.22118772415093438,0.09882557044187032,0.07821545795187561,1,0
kin_selection,0.8,0.2,4,0.12040570537335116,0.2804974448643402,0.16009173949098904,0.08070751248452977,1,0
kin_selection,0.8,0.2,5,0.11899369572264468,0.2740314706857929,0.15503777496314824,0.05501716150367399,1,0
kin_selection,0.8,0.2,6,0.11990100497716376,0.4493795742907505,0.3294785693135867,0.04166483896928401,2,0
kin_selection,0.8,0.2,7,0.1142221685091476,0.25988481615188735,0.14566264764273976,0.08419984050467737,1,0
kin_selection,0.8,0.3,0,0.11982660185613107,0.1782799189665491,0.05845331711041803,0.07478051876214191,2,0
kin_selection,0.8,0.3,1,0.11914007165541113,0.16162176466923261,0.04248169301382149,0.06409593344623384,1,0
kin_selection,0.8,0.3,2,0.11797424272741182,0.06310383096135992,-0.054870411766051896,0.05352003271669984,2,0
kin_selection,0.8,0.3,3,0.12236215370906406,0.09854586565427821,-0.023816288054785847,0.05032276413476662,1,0
kin_selection,0.8,0.3,4,0.12040570537335116,0.18205384645061595,0.061648141077264795,0.05679360624631018,2,0
