kin_weight_same_lineage,kin_weight_other_lineage,kin_bias_ratio,B_plus_scale,C_scale,mutation_rate,replicate,mean_final_trait,std_final_trait,min_final_trait,max_final_trait
0.5,0.2,2.5,1.2,0.3,0.01,2,0.20564082058391817,0.06274001904766432,0.11757638181640452,0.21913155841023052
0.5,0.2,2.5,1.2,0.3,0.01,3,0.211185636118571,0.03283555292940526,0.11715439227563186,0.2110307524794737
0.5,0.2,2.5,1.2,0.3,0.01,4,0.29456621613598905,0.08718951100955077,0.12114467164362658,0.347524139103205
0.5,0.2,2.5,1.2,0.3,0.01,5,0.2980739596344581,0.04378827079335728,0.11926604755157912,0.3018728841326508
0.5,0.3,1.6666666666666667,0.8,0.1,0.01,0,0.2707629696746758,0.036923629485819044,0.11857498584994788,0.26849097442046627
0.5,0.3,1.6666666666666667,0.8,0.1,0.01,1,0.25232792917042285,0.02862748041618335,0.11862336521493885,0.25355358285703056
0.5,0.3,1.6666666666666667,0.8,0.1,0.01,2,0.2409048095205336,0.038890018724351785,0.11757638181640452,0.2408746509202091
0.5,0.3,1.6666666666666667,0.8,0.1,0.01,3,0.20999290375897806,0.040774290451133045,0.11692054699137433,0.2095286060676658
0.5,0.3,1.6666666666666667,0.8,0.1,0.01,4,0.3679507514494291,0.03907652672604614,0.12114467164362658,0.3698244095162165
0.5,0.3,1.6666666666666667,0.8,0.1,0.01,5,0.2824990412683184,0.03534518952971136,0.11926604755157912,0.283156593174738
0.5,0.3,1.6666666666666667,0.8,0.2,0.01,0,0.160245024748174,0.034438494414277494,0.11633944864593558,0.16015728937942497
0.5,0.3,1.6666666666666667,0.8,0.2,0.01,1,0.19606026100517143,0.03562535765059454,0.11862336521493885,0.19604977445554103
0.5,0.3,1.6666666666666667,0.8,0.2,0.01,2,0.15384060791398507,0.05124577120653002,0.11690917113639537,0.1690395572999193
0.5,0.3,1.6666666666666667,0.8,0.2,0.01,3,0.21345230087552988,0.0630396174420624,0.10949543577427226,0.21194065141433904
0.5,0.3,1.6666666666666667,0.8,0.2,0.01,4,0.2028279772442308,0.12172318973180145,0.12114467164362658,0.3047131239604389
0.5,0.3,1.6666666666666667,0.8,0.2,0.01,5,0.18620019955325018,0.04763746315747389,0.11576226820031645,0.19139152369814422
