model_variant,benefit_from_altruism,cost_of_altruism,harshness,disturbance_interval,disturbance_fraction,altruistic_probability,selfish_probability,coexist_prob,altruist_avg,selfish_avg,black_avg,occupied_avg
uniform_culling,0.4,0.05,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.4,0.05,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.45,0,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.45,0.05,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.4,0.1,0.96,50,0.25,0.39,0.39,0.4,23.2,1725.4,852.4,0.67228
uniform_culling,0.45,0.05,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.45,0,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.4,0.2,0.96,50,0.25,0.39,0.39,0,0,1717,884,0.660131
uniform_culling,0.4,0.15,0.96,50,0.25,0.39,0.39,0,0,1717,884,0.660131
uniform_culling,0.4,0.25,0.96,50,0.25,0.39,0.39,0,0,1717,884,0.660131
uniform_culling,0.4,0.15,0.96,50,0.5,0.39,0.39,0,0,660.8,1940.2,0.254056
uniform_culling,0.4,0.35,0.96,50,0.25,0.39,0.39,0,0,1717,884,0.660131
uniform_culling,0.4,0.2,0.96,50,0.5,0.39,0.39,0,0,660.8,1940.2,0.254056
uniform_culling,0.4,0.1,0.96,50,0.5,0.39,0.39,1,460,731.6,1409.4,0.458131
uniform_culling,0.4,0.25,0.96,50,0.5,0.39,0.39,0,0,660.8,1940.2,0.254056
uniform_culling,0.4,0.3,0.96,50,0.5,0.39,0.39,0,0,660.8,1940.2,0.254056
uniform_culling,0.5,0,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.45,0.15,0.96,50,0.25,0.39,0.39,0,0,1717,884,0.660131
uniform_culling,0.4,0.35,0.96,50,0.5,0.39,0.39,0,0,660.8,1940.2,0.254056
uniform_culling,0.4,0.3,0.96,50,0.25,0.39,0.39,0,0,1717,884,0.660131
uniform_culling,0.45,0.15,0.96,50,0.5,0.39,0.39,0,0,666,1935,0.256055
uniform_culling,0.45,0.25,0.96,50,0.25,0.39,0.39,0,0,1717,884,0.660131
uniform_culling,0.45,0.1,0.96,50,0.25,0.39,0.39,1,258.4,1589.6,753,0.710496
uniform_culling,0.45,0.1,0.96,50,0.5,0.39,0.39,1,1050.6,249.2,1301.2,0.499731
uniform_culling,0.45,0.2,0.96,50,0.25,0.39,0.39,0,0,1717,884,0.660131
uniform_culling,0.45,0.3,0.96,50,0.25,0.39,0.39,0,0,1709,892,0.657055
uniform_culling,0.45,0.35,0.96,50,0.25,0.39,0.39,0,0,1717,884,0.660131
uniform_culling,0.45,0.2,0.96,50,0.5,0.39,0.39,0,0,660.8,1940.2,0.254056
uniform_culling,0.45,0.25,0.96,50,0.5,0.39,0.39,0,0,660.8,1940.2,0.254056
uniform_culling,0.5,0,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.45,0.3,0.96,50,0.5,0.39,0.39,0,0,660.8,1940.2,0.254056
uniform_culling,0.45,0.35,0.96,50,0.5,0.39,0.39,0,0,660.8,1940.2,0.254056
uniform_culling,0.5,0.05,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.5,0.05,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.55,0,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.5,0.1,0.96,50,0.5,0.39,0.39,0.6,1257.6,43.4,1300,0.500192
uniform_culling,0.5,0.1,0.96,50,0.25,0.39,0.39,1,1581.4,368.8,650.8,0.749789
uniform_culling,0.55,0.05,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.55,0,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.5,0.15,0.96,50,0.25,0.39,0.39,0,0,1709,892,0.657055
uniform_culling,0.55,0.05,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.5,0.2,0.96,50,0.25,0.39,0.39,0,0,1709,892,0.657055
uniform_culling,0.55,0.1,0.96,50,0.25,0.39,0.39,0.2,1948.4,2.6,650,0.750096
uniform_culling,0.5,0.15,0.96,50,0.5,0.39,0.39,0.4,43,731.2,1826.8,0.297655
uniform_culling,0.5,0.25,0.96,50,0.25,0.39,0.39,0,0,1709,892,0.657055
uniform_culling,0.5,0.2,0.96,50,0.5,0.39,0.39,0,0,659.4,1941.6,0.253518
uniform_culling,0.5,0.3,0.96,50,0.25,0.39,0.39,0,0,1709,892,0.657055
uniform_culling,0.5,0.25,0.96,50,0.5,0.39,0.39,0,0,659.4,1941.6,0.253518
uniform_culling,0.6,0,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.5,0.35,0.96,50,0.25,0.39,0.39,0,0,1709,892,0.657055
uniform_culling,0.5,0.3,0.96,50,0.5,0.39,0.39,0,0,659.4,1941.6,0.253518
uniform_culling,0.5,0.35,0.96,50,0.5,0.39,0.39,0,0,659.4,1941.6,0.253518
uniform_culling,0.55,0.1,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.55,0.15,0.96,50,0.25,0.39,0.39,0,0,1709,892,0.657055
uniform_culling,0.6,0,0.96,50,0.5,0.39,0.39,0,1301,0,1300,0.500192
uniform_culling,0.6,0.05,0.96,50,0.25,0.39,0.39,0,1951,0,650,0.750096
uniform_culling,0.55,0.2,0.96,50,0.25,0.39,0.39,0,0,1709,892,0.657055
uniform_culling,0.55,0.3,0.96,50,0.25,0.39,0.39,0,0,1709,892,0.657055
uniform_culling,0.55,0.25,0.96,50,0.5,0.39,0.39,0,0,688,1913,0.264514
uniform_culling,0.55,0.35,0.96,50,0.25,0.39,0.39,0,0,1709,892,0.657055
uniform_culling,0.55,0.2,0.96,50,0.5,0.39,0.39,0,0,659.4,1941.6,0.253518
uniform_culling,0.55,0.25,0.96,50,0.25,0.39,0.39,0,0,1709,892,0.657055
uniform_culling,0.55,0.15,0.96,50,0.5,0.39,0.39,0.6,62.8,787.2,1751,0.326797
uniform_culling,0.55,0.3,0.96,50,0.5,0.39,0.39,0,0,659.4,1941.6,0.253518
uniform_culling,0.55,0.35,0.96,50,0.5,0.39,0.39,0,0,688,1913,0.264514
