mechanism,benefit_scale,cost_scale,seed,final_mean_trait,final_std_trait
indirect_reciprocity,1.0,0.2,4,0.9966642163551174,0.010797094767158061
indirect_reciprocity,1.0,0.2,5,0.9962561025805677,0.009849956396838257
indirect_reciprocity,1.0,0.2,6,0.9925072147776481,0.013253735294754617
indirect_reciprocity,1.0,0.2,7,0.9954916595951266,0.009967596657169066
indirect_reciprocity,1.0,0.3,0,0.8195800039319716,0.042930596710321414
indirect_reciprocity,1.0,0.3,1,0.9966276298096497,0.009958003289876886
indirect_reciprocity,1.0,0.3,2,0.9903941079013124,0.01620941689942569
indirect_reciprocity,1.0,0.3,3,0.9496344976077826,0.02827929964944342
indirect_reciprocity,1.0,0.3,4,0.9788462588371277,0.020849455231686475
indirect_reciprocity,1.0,0.3,5,0.9742174759559165,0.028957085692870952
indirect_reciprocity,1.0,0.3,6,0.9960979863183191,0.008286639030520536
indirect_reciprocity,1.0,0.3,7,0.9919391496935188,0.013337026398710008
indirect_reciprocity,1.2,0.1,0,0.9967322299333262,0.011853030244534562
indirect_reciprocity,1.2,0.1,1,0.9981877266323234,0.006961728978829029
indirect_reciprocity,1.2,0.1,2,0.9975628186414353,0.008530267977710476
indirect_reciprocity,1.2,0.1,3,0.9991563199903444,0.004847320853889144
indirect_reciprocity,1.2,0.1,4,0.9979949535720962,0.008409181222156618
indirect_reciprocity,1.2,0.1,5,0.9979664431904952,0.007805862149744077
indirect_reciprocity,1.2,0.1,6,0.9987001713739675,0.00546162837632183
indirect_reciprocity,1.2,0.1,7,0.9980683230178156,0.007418187801316024
indirect_reciprocity,1.2,0.2,0,0.9963873455501369,0.013352475385199574
indirect_reciprocity,1.2,0.2,1,0.9976711429002335,0.007992438274965766
indirect_reciprocity,1.2,0.2,2,0.9962685318034958,0.010483920525315472
indirect_reciprocity,1.2,0.2,3,0.9938681147950904,0.010710952350234887
indirect_reciprocity,1.2,0.2,4,0.9971266409090368,0.009410313407947114
indirect_reciprocity,1.2,0.2,5,0.995902282620507,0.007501060714366962
indirect_reciprocity,1.2,0.2,6,0.998571355816739,0.006112934320908929
indirect_reciprocity,1.2,0.2,7,0.9972793838670166,0.00799561446127705
indirect_reciprocity,1.2,0.3,0,0.9793618196912567,0.022531325411755083
indirect_reciprocity,1.2,0.3,1,0.997331355569751,0.008953774160848698
indirect_reciprocity,1.2,0.3,2,0.9971261669269936,0.010455171691343062
indirect_reciprocity,1.2,0.3,3,0.9967966443837049,0.008453945926549243
indirect_reciprocity,1.2,0.3,4,0.9917364830796749,0.012884917793017791
indirect_reciprocity,1.2,0.3,5,0.9966443750304556,0.009845036355351059
indirect_reciprocity,1.2,0.3,6,0.9969014375979263,0.007179486340140322
indirect_reciprocity,1.2,0.3,7,0.9963162753030789,0.009116143171406419
group_selection,0.8,0.1,0,0.3975654537699216,0.0697108026716226
group_selection,0.8,0.1,1,0.5337287329065413,0.09181856451800682
group_selection,0.8,0.1,2,0.36137328096584376,0.06087673633535279
group_selection,0.8,0.1,3,0.5239016862529774,0.06385659771271182
group_selection,0.8,0.1,4,0.620005121762826,0.06612316984336478
group_selection,0.8,0.1,5,0.3711901022179907,0.046239930748237526
group_selection,0.8,0.1,6,0.41673521942412406,0.05197357743420591
group_selection,0.8,0.1,7,0.5751331492018825,0.062286236046874194
group_selection,0.8,0.2,0,0.04125012900406512,0.04061903167577592
group_selection,0.8,0.2,1,0.07703087066654596,0.048288819041304526
group_selection,0.8,0.2,2,0.04360783509826421,0.04787780734406931
group_selection,0.8,0.2,3,0.060295556991199595,0.060461373644570236
group_selection,0.8,0.2,4,0.059746314732676664,0.059313554501043954
group_selection,0.8,0.2,5,0.04690272206603755,0.036333480442480415
group_selection,0.8,0.2,6,0.04836057928025577,0.036032743403488735
group_selection,0.8,0.2,7,0.02726312356796017,0.03338633156964808
group_selection,0.8,0.3,0,0.018230990829759354,0.02336858312473883
group_selection,0.8,0.3,1,0.011481519309705137,0.020823576170741168
group_selection,0.8,0.3,2,0.011790679739018834,0.02395026066138387
group_selection,0.8,0.3,3,0.0077215341832048805,0.01747452138298239
group_selection,0.8,0.3,4,0.01205797860049964,0.019383206595090657
group_selection,0.8,0.3,5,0.00941173301163736,0.01812366286123155
group_selection,0.8,0.3,6,0.011766049529959122,0.01887408059829518
group_selection,0.8,0.3,7,0.012107786604501706,0.018780694379777366
group_selection,1.0,0.1,0,0.5029775966373639,0.09026820189076334
